#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-02-29T21:59:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56d4b2251d72	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#Vmag=-1.44 .. 6.0
#-out=Plx
#-out=B-V
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#HIP|Vmag|Plx|B-V
# |mag|mas|mag
#------|-----|-------|------
  1096| 5.94|   3.22| 1.548
  1158| 5.13|   5.21| 1.601
  1168| 4.79|  10.01| 1.572
  1170| 4.44|   6.62| 1.640
  1191| 5.77|   9.40|-0.084
  1288| 5.66|   7.64| 1.350
  1354| 5.74|   5.08| 0.898
  1366| 4.61|  12.88| 0.059
  1372| 5.86|   3.42|-0.079
  1473| 4.51|  23.11| 0.054
  1493| 5.88|   6.00|-0.014
  1562| 3.56|  11.26| 1.214
  1599| 4.23| 116.38| 0.576
  1630| 5.89|   5.60|-0.098
  1645| 5.38|   8.26| 1.343
  1647| 5.50|  10.65|-0.046
  1657| 5.79|   5.05| 1.595
  1686| 5.16|  20.42| 0.442
  1706| 5.96|   4.68| 1.397
  1708| 5.18|  10.50| 1.006
  1728| 5.61|   4.21| 1.580
  1921| 5.58|   2.38|-0.110
  1960| 5.38|   4.27| 0.008
  1982| 5.72|   6.17|-0.056
  2006| 5.77|   5.50| 0.855
  2021| 2.82| 133.78| 0.618
  2072| 3.93|  42.51| 0.175
  2081| 2.40|  42.14| 1.083
  2159| 5.99|   4.86| 1.022
  2210| 4.86|   5.95| 1.634
  2219| 5.01|   6.65| 1.584
  2225| 5.18|  12.32| 0.043
  2240| 5.42|   7.86| 1.556
  2353| 5.72|   3.82| 1.545
  2355| 5.20|  17.62| 0.271
  2377| 5.94|   4.54|-0.003
  2381| 5.17|  18.08| 0.128
  2383| 5.67|  22.19| 0.367
  2472| 4.76|  18.97| 0.018
  2475| 5.88|   6.98| 1.133
  2484| 4.36|  23.35|-0.064
  2487| 4.53|  18.95| 0.147
  2497| 5.59|   8.29| 1.163
  2505| 4.74|   9.20|-0.098
  2548| 5.69|  12.36|-0.014
  2568| 5.38|  12.69| 1.069
  2578| 5.07|  21.52| 0.038
  2599| 4.17|   0.79| 0.130
  2611| 5.93|   8.68| 1.037
  2661| 5.55|   6.56| 1.262
  2711| 5.57|  39.03| 0.472
  2762| 5.20|  47.51| 0.567
  2787| 5.94|  17.97| 0.444
  2802| 5.51|  27.61| 0.461
  2854| 5.08|   6.45|-0.098
  2876| 5.78|   0.97| 0.294
  2900| 5.14|   4.97| 1.587
  2903| 5.89|   3.81|-0.146
  2912| 4.34|   4.97|-0.123
  2920| 3.69|   5.46|-0.196
  2941| 5.57|  64.38| 0.715
  2942| 5.45|   3.19| 0.886
  3031| 4.34|  19.34| 0.871
  3083| 5.45|   2.45| 1.644
  3092| 3.27|  32.19| 1.268
  3093| 5.88|  90.03| 0.850
  3137| 6.00|  10.75| 1.142
  3138| 5.36|   7.94| 1.160
  3170| 5.89|  39.26| 0.564
  3179| 2.24|  14.27| 1.170
  3193| 5.90|   5.66| 1.091
  3231| 5.30|   9.47| 0.891
  3245| 4.59|  13.19| 0.953
  3277| 5.72|  15.29| 0.131
  3299| 5.83|   6.48| 1.042
  3300| 4.80|   2.94|-0.105
  3330| 5.38|  24.59| 0.515
  3352| 5.99|  13.73| 1.318
  3405| 4.36|  13.57| 0.024
  3414| 4.95|  18.71| 0.170
  3419| 2.04|  34.04| 1.019
  3455| 4.77|  15.54| 0.998
  3456| 5.90|   8.76| 1.144
  3478| 5.66|   4.29|-0.113
  3504| 4.48|   3.60|-0.069
  3505| 5.22|  35.92| 0.350
  3521| 5.94|  15.01| 0.297
  3544| 5.41|   9.28| 0.022
  3572| 5.64|  11.24| 0.078
  3583| 5.80|  66.92| 0.635
  3607| 5.49|   9.78| 0.978
  3632| 5.36|   5.55| 1.559
  3675| 5.51|  12.45| 0.987
  3693| 4.08|  17.98| 1.100
  3697| 5.98|   7.16| 0.941
  3717| 5.70|   8.11| 1.300
  3721| 5.42|   4.06|-0.066
  3741| 5.57|   6.72|-0.058
  3750| 5.86|  14.65| 1.010
  3760| 5.92|   4.93| 1.104
  3765| 5.74| 134.04| 0.890
  3781| 5.09|  15.94| 1.345
  3786| 4.44|  10.69| 1.500
  3801| 4.90|   8.37|-0.091
  3810| 5.07|  41.80| 0.502
  3821| 3.46| 167.99| 0.587
  3834| 5.90|  17.70| 0.944
  3849| 5.59|  10.02| 1.325
  3881| 4.53|   4.80|-0.136
  3885| 5.55|   9.40| 0.398
  3909| 5.17|  64.69| 0.514
  3949| 5.24|  13.06| 0.356
  3951| 5.35|   4.01| 0.528
  4104| 5.47|   6.52| 1.275
  4147| 4.78|   6.28| 1.550
  4151| 4.80|  53.85| 0.540
  4200| 5.73|   5.32| 1.574
  4267| 5.80|   8.88|-0.016
  4283| 5.59|  13.30| 0.105
  4288| 5.46|  25.69| 1.012
  4292| 4.83|   8.02| 1.216
  4293| 5.45|  15.52| 1.095
  4346| 5.88|   6.54| 1.520
  4371| 5.35|   6.24| 1.505
  4422| 4.62|  15.84| 0.957
  4427| 2.15|   5.32|-0.046
  4436| 3.86|  23.93| 0.130
  4440| 5.56|   5.31|-0.054
  4463| 4.40|  13.44| 0.940
  4510| 5.44|   4.63| 1.076
  4552| 5.99|  17.19| 1.000
  4572| 5.97|   8.67|-0.008
  4577| 4.30|   4.85|-0.154
  4587| 5.62|  10.35| 0.949
  4675| 5.69|   7.76|-0.010
  4770| 5.59|   5.19| 1.185
  4852| 5.50|  14.39| 0.083
  4889| 5.50|   7.87|-0.043
  4890| 5.39|  13.86| 0.900
  4903| 5.95|   9.49| 0.161
  4906| 4.27|  17.14| 0.952
  4914| 5.40|   7.95| 1.106
  4962| 5.92|   2.16| 0.512
  4998| 5.99|   3.29| 1.447
  5021| 5.83|  12.47| 0.569
  5081| 5.64|  18.28| 0.420
  5131| 5.33|  13.67| 0.003
  5132| 5.55|  14.67|-0.048
  5165| 3.32|  16.46| 0.885
  5164| 5.58|   5.48| 0.009
  5268| 5.36|  11.68| 0.884
  5296| 5.71|  20.97| 0.446
  5300| 5.21|  16.48| 0.159
  5310| 5.56|  20.23| 0.121
  5317| 5.04|  16.61| 0.109
  5336| 5.17| 132.40| 0.704
  5346| 5.51|  27.84| 0.334
  5348| 3.94|  11.66|-0.120
  5361| 5.77|   5.75|-0.019
  5364| 3.46|  27.73| 1.161
  5372| 4.24|  10.43| 1.213
  5434| 4.26|   4.43| 0.012
  5447| 2.07|  16.36| 1.576
  5454| 5.57|   8.09| 0.697
  5493| 5.67|  18.98| 0.603
  5494| 5.81|   9.06| 1.466
  5510| 5.97|   3.63| 1.491
  5518| 5.32|  10.26|-0.014
  5542| 4.34|  23.73| 0.170
  5544| 5.15|   5.82| 0.261
  5550| 5.80|   3.56|-0.095
  5566| 5.56|   7.96|-0.052
  5571| 4.66|   7.42| 1.024
  5586| 4.51|  20.11| 1.092
  5589| 5.57|   8.99|-0.072
  5594| 5.93|   7.40| 1.403
  5626| 5.60|  11.98| 0.008
  5661| 5.95|  13.62| 0.281
  5737| 5.21|  22.09| 0.320
  5742| 4.67|   8.64| 1.047
  5778| 5.97|   6.52|-0.082
  5799| 5.14|  41.01| 0.448
  5833| 5.70|  22.79| 0.428
  5862| 4.97|  66.43| 0.571
  5896| 4.25|  48.94| 0.480
  5926| 5.87|   0.22| 2.042
  5951| 5.42|  12.74| 0.888
  6061| 5.13|  14.83| 0.071
  6193| 4.74|  10.49| 0.032
  6226| 5.87|   8.27| 0.635
  6242| 4.95|   1.40| 0.683
  6315| 5.23|   9.49| 1.396
  6411| 4.87|  16.68| 1.077
  6492| 5.97|   3.94| 1.677
  6502| 5.84|   3.67| 1.612
  6514| 5.60|  15.43| 0.276
  6537| 3.60|  28.48| 1.065
  6564| 5.92|  22.33| 0.407
  6592| 5.42|  13.22| 1.030
  6631| 5.92|   3.23| 1.561
  6670| 4.90|  11.31| 1.231
  6686| 2.66|  32.81| 0.160
  6692| 4.72|  16.89| 1.047
  6706| 5.35|  38.35| 0.395
  6711| 5.98|  24.21| 0.520
  6732| 5.50|  10.63| 1.106
  6748| 5.51|  27.55| 0.321
  6813| 4.83|  35.33| 0.421
  6867| 3.41|  13.94| 1.542
  6960| 5.11|  14.72| 0.028
  6999| 5.27|  11.26| 0.999
  7007| 4.84|   9.05| 1.372
  7016| 5.92|   7.35| 1.327
  7078| 5.82|  34.19| 0.489
  7083| 3.93|  22.15| 0.972
  7097| 3.62|  11.09| 0.974
  7118| 5.79|  10.74| 1.073
  7213| 5.49|  12.29| 1.021
  7251| 5.69|   1.67| 1.435
  7276| 5.75|  33.71| 0.639
  7294| 4.68|  15.96| 0.991
  7321| 5.90|   8.32|-0.067
  7345| 5.62|  16.32| 0.066
  7359| 5.90|   5.46| 1.536
  7447| 5.95|  16.75| 0.259
  7450| 5.41|   5.94| 1.226
  7463| 5.69|  16.13| 0.335
  7513| 4.10|  74.25| 0.536
  7535| 5.54|  29.58| 0.347
  7568| 5.66|   8.94| 0.939
  7588| 0.45|  22.68|-0.158
  7601| 5.88|  36.86| 0.620
  7607| 3.59|  18.76| 1.275
  7617| 5.55|   2.86| 1.388
  7643| 5.94|  10.10| 1.045
  7650| 5.28|   7.30| 0.972
  7679| 5.58|  14.21| 0.346
  7719| 5.01|  13.46| 0.883
  7740| 5.98|   7.18| 1.119
  7751| 5.76| 122.75| 0.880
  7818| 4.96|   4.79|-0.068
  7825| 5.63|  12.15| 0.214
  7884| 4.45|   8.86| 1.347
  7906| 5.97|   6.23| 1.015
  7916| 5.75|  26.83| 0.443
  7918| 4.96|  79.09| 0.618
  7921| 5.70|   8.79| 1.264
  7941| 5.70|  10.71|-0.010
  7943| 5.63|  12.61|-0.059
  7955| 5.25|  15.02| 1.044
  7965| 5.57|   7.34|-0.049
  7978| 5.52|  57.63| 0.551
  7981| 5.24| 133.91| 0.836
  7999| 4.98|   2.71| 1.378
  8016| 5.18|  11.62|-0.022
  8046| 5.78|   3.57|-0.010
  8068| 4.01|   4.55|-0.098
  8102| 3.49| 274.17| 0.727
  8198| 4.26|  12.63| 0.942
  8209| 5.29|  36.46| 0.395
  8230| 5.37|   6.40| 1.517
  8240| 5.49|   4.80| 1.615
  8241| 5.04|  17.54| 0.031
  8362| 5.63| 100.24| 0.804
  8387| 5.86|  11.37|-0.039
  8404| 5.91|   9.95| 0.970
  8423| 5.94|  10.57| 0.975
  8433| 5.78|  36.65| 0.572
  8497| 4.66|  42.35| 0.333
  8544| 5.83|   5.68| 0.743
  8588| 5.92|  23.46| 0.302
  8593| 5.94|  13.37| 0.154
  8598| 5.96|  22.42| 0.419
  8645| 3.74|  12.59| 1.136
  8704| 5.53|   3.17|-0.175
  8714| 5.70|   6.63|-0.067
  8778| 5.78|   9.87| 0.260
  8796| 3.42|  50.87| 0.488
  8814| 5.42|   6.04| 1.311
  8832| 3.88|  15.96|-0.047
  8833| 4.61|  17.11| 0.928
  8837| 4.39|  10.15| 1.597
  8882| 5.12|  10.55|-0.060
  8886| 3.35|   7.38|-0.150
  8903| 2.64|  54.74| 0.165
  8928| 4.68|  15.04| 0.931
  8993| 5.76|   6.25| 1.185
  9001| 5.89|   3.29| 1.599
  9007| 3.69|  57.19| 0.844
  9009| 4.97|   4.65|-0.084
  9021| 5.69|  10.18| 1.060
  9061| 4.92|   8.18| 1.434
  9095| 4.82|  12.22| 0.864
  9110| 5.09|   4.95| 0.921
  9132| 5.84|   6.85| 1.576
  9153| 4.79|  24.49| 0.290
  9222| 5.70|  13.25| 1.005
  9236| 2.86|  45.74| 0.290
  9307| 5.89|   8.17| 1.031
  9312| 5.29|  12.69| 0.002
  9313| 5.57|  12.55| 1.052
  9326| 5.43|   4.88| 1.640
  9347| 3.99|  10.84| 1.554
  9353| 5.89|  32.18| 0.610
  9372| 5.43|   5.50| 1.391
  9440| 5.34|  11.71| 0.883
  9459| 5.15|   8.76| 1.471
  9480| 4.49|  27.91| 0.164
  9487| 3.82|  23.45| 0.024
  9505| 4.99|   4.41|-0.071
  9533| 5.97|   3.86| 1.584
  9564| 6.00|  11.49| 0.029
  9570| 5.50|   8.81| 0.029
  9572| 5.87|   9.91| 0.966
  9573| 5.59|   0.94| 0.325
  9589| 5.42|  11.31| 0.146
  9598| 3.95|  20.12|-0.002
  9621| 5.64|  18.90| 0.537
  9622| 5.61|   4.98| 1.589
  9631| 5.96|   9.89| 0.851
  9640| 2.10|   9.19| 1.370
  9677| 4.68|   9.03|-0.156
  9727| 5.27|  29.80| 0.345
  9763| 5.22|   7.65| 0.954
  9836| 5.03|  17.40| 0.121
  9884| 2.01|  49.48| 1.151
  9977| 4.78|  16.48| 0.120
  9990| 5.66|   1.79| 0.595
 10035| 5.84|   5.68| 1.197
 10053| 4.98|  10.19| 0.339
 10064| 3.00|  26.24| 0.140
 10155| 5.68|   4.90| 1.641
 10212| 5.64|  23.52| 0.569
 10215| 6.00|  20.00| 0.418
 10234| 5.94|   9.20| 0.967
 10280| 4.94|  10.68| 0.770
 10296| 5.96|   5.77| 1.366
 10305| 5.65|  21.71| 0.546
 10306| 5.23|  33.19| 0.457
 10320| 5.27|   9.82|-0.013
 10324| 4.36|   9.01| 0.878
 10326| 5.86|   8.17| 1.006
 10328| 5.72|   6.03| 1.551
 10340| 4.84|   5.86| 1.476
 10366| 5.31|  16.39| 0.926
 10418| 5.57|   4.41| 1.556
 10440| 5.91|   9.77| 0.965
 10513| 5.67|   6.97| 1.306
 10535| 5.57|  20.77| 0.520
 10540| 5.79|  24.93| 0.439
 10559| 5.25|  11.13|-0.004
 10602| 3.56|  21.06|-0.120
 10642| 5.51|   9.58| 0.962
 10644| 4.84|  92.20| 0.607
 10670| 4.03|  27.73| 0.019
 10718| 5.75|   8.61| 1.175
 10723| 5.60|  40.04| 0.588
 10729| 5.99|   4.59| 1.039
 10732| 5.58|   8.42| 0.011
 10793| 5.29|   9.31| 0.037
 10819| 5.31|  12.77| 0.006
 10871| 5.81|   5.78| 1.570
 10944| 5.57|   9.15|-0.089
 11001| 4.08|  24.10| 0.034
 11021| 5.29|   2.49| 1.648
 11029| 5.43|  33.48| 0.364
 11033| 5.89|   6.47| 1.231
 11046| 5.42|  11.68| 0.335
 11060| 5.16|   1.59| 0.369
 11072| 5.19|  45.60| 0.608
 11090| 5.81|  21.16| 0.289
 11095| 5.99|  10.26| 1.088
 11102| 5.90|  16.30| 0.213
 11220| 5.19|   8.69| 0.979
 11249| 5.48|   5.41|-0.098
 11258| 5.36|  20.40| 0.395
 11313| 4.73|   9.46| 1.532
 11345| 4.88|   6.17|-0.027
 11348| 5.88|  15.24| 0.116
 11381| 5.89|  11.47| 1.247
 11407| 4.24|   6.17|-0.136
 11432| 5.55|  11.39| 1.114
 11477| 5.13|  21.35| 0.089
 11484| 4.30|  18.53|-0.053
 11486| 5.29|  21.01| 0.311
 11548| 5.89|  32.48| 0.591
 11569| 4.46|  23.04| 0.153
 11670| 5.88|  19.59| 0.412
 11687| 6.00|  11.87| 0.168
 11738| 5.27|   6.85| 1.271
 11757| 5.27|  11.18| 0.981
 11767| 1.97|   7.56| 0.636
 11783| 4.74|  38.73| 0.454
 11784| 5.15|   8.33| 1.472
 11791| 5.36|  12.27| 1.004
 11840| 5.84|  12.54| 1.083
 11843| 6.00|  34.84| 0.572
 11867| 5.91|   8.58| 1.064
 11918| 4.96|   7.19|-0.050
 12002| 5.74|   5.94| 1.393
 12072| 5.72|   4.82| 1.389
 12086| 5.38|  -0.60| 1.652
 12093| 4.87|   8.77| 0.880
 12107| 5.53|   6.31| 1.607
 12114| 5.79| 138.72| 0.918
 12122| 5.74|   5.02| 1.017
 12148| 5.81|  11.18| 1.040
 12153| 5.64|  28.40| 0.516
 12181| 5.91|  18.42| 0.502
 12186| 5.78|  39.16| 0.653
 12225| 5.30|  22.49| 0.289
 12239| 5.80|   4.00| 1.561
 12247| 5.65|  10.29| 1.021
 12273| 5.17|  12.73| 0.896
 12288| 5.84|  27.99| 0.476
 12332| 5.45|   9.41| 0.168
 12387| 4.08|   5.04|-0.212
 12390| 4.83|  36.99| 0.447
 12394| 4.12|  21.27|-0.061
 12413| 4.74|  25.15| 0.061
 12444| 5.79|  46.42| 0.524
 12484| 5.21|  20.49| 0.411
 12486| 4.11|  22.42| 1.006
 12489| 5.30|  13.97| 0.081
 12530| 5.72|  46.24| 0.511
 12562| 5.98|  20.29| 0.429
 12608| 5.99|   8.59| 0.917
 12623| 4.91|  40.52| 0.582
 12640| 5.74|   9.64|-0.017
 12653| 5.40|  58.00| 0.561
 12686| 5.85|   7.90| 1.125
 12692| 5.76|   7.76|-0.110
 12706| 3.47|  39.78| 0.093
 12719| 4.65|   8.82|-0.122
 12768| 5.43|   4.71| 0.904
 12770| 4.24|   7.40|-0.122
 12777| 4.10|  89.03| 0.514
 12803| 5.78|   6.76|-0.024
 12821| 5.95|   8.02| 0.136
 12828| 4.27|  38.71| 0.311
 12832| 5.17|  26.15| 0.234
 12843| 4.47|  71.56| 0.481
 12871| 5.73|  18.23| 0.932
 12876| 4.83|  11.06| 0.058
 13055| 5.80|   6.54| 1.300
 13061| 4.52|  18.06| 1.112
 13108| 5.83|   6.50| 1.216
 13121| 5.89|   7.08|-0.033
 13141| 5.25|  19.73| 0.101
 13147| 4.45|  19.31| 0.981
 13165| 5.26|   5.41|-0.066
 13202| 5.39|   5.88| 0.013
 13209| 3.61|  20.45|-0.100
 13225| 5.92|   6.52| 0.899
 13244| 4.76|   9.92| 1.337
 13254| 4.22|  25.54| 0.343
 13265| 5.48|   6.14| 1.259
 13268| 3.77|   2.45| 1.690
 13288| 4.76|  17.85| 0.906
 13327| 5.52|   6.80|-0.099
 13328| 4.56|   7.97| 1.554
 13339| 5.86|   8.21| 0.903
 13367| 5.94|   2.31| 0.700
 13473| 5.93|  16.83| 0.437
 13479| 5.93|  10.73| 1.041
 13490| 5.34|  13.87| 0.423
 13531| 3.93|  13.15| 0.758
 13654| 5.76|   8.08| 1.452
 13665| 5.59|  37.78| 0.445
 13679| 5.97|  22.46| 0.478
 13701| 3.89|  24.49| 1.088
 13702| 5.58|  28.24| 0.471
 13717| 5.16|  17.28| 0.084
 13775| 5.10|   8.43|-0.007
 13782| 5.44|  20.54| 0.238
 13834| 5.80|  31.41| 0.415
 13835| 5.82|   4.99| 1.334
 13847| 2.88|  20.22| 0.128
 13874| 5.22|  10.20| 0.014
 13879| 4.68|  10.02| 0.065
 13884| 4.98|  10.40| 0.126
 13905| 4.94|   9.31| 1.235
 13914| 4.63|  11.15| 0.048
 13942| 5.69|  30.92| 0.427
 13949| 5.89|   4.18| 1.445
 13951| 5.56|   9.76|-0.072
 13954| 4.71|   7.69|-0.109
 13965| 5.47|   5.85| 0.869
 14036| 5.93|   7.39| 1.593
 14043| 5.24|   4.10|-0.049
 14060| 5.75|  10.71| 1.043
 14086| 5.88|  32.94| 0.794
 14109| 5.91|  15.24| 0.141
 14110| 5.84|  11.55| 1.092
 14131| 5.51|   6.21|-0.125
 14135| 2.54|  14.82| 1.630
 14143| 5.62|   7.32|-0.107
 14146| 4.08|  37.85| 0.163
 14168| 5.32|  12.65| 0.941
 14187| 5.81|   3.97| 1.304
 14240| 5.12|  23.67| 0.349
 14293| 5.26|  23.22| 0.193
 14328| 2.91|  12.72| 0.716
 14354| 3.32|  10.03| 1.528
 14376| 5.45|   8.11|-0.031
 14382| 4.77|  15.95| 1.018
 14417| 5.49|   4.69| 1.569
 14439| 5.64|  10.21| 1.087
 14456| 5.23|   6.10| 1.575
 14502| 5.89|   5.85|-0.020
 14521| 5.67|  13.13| 0.298
 14576| 2.09|  35.14|-0.003
 14632| 4.05|  94.93| 0.595
 14668| 3.79|  29.05| 0.980
 14677| 5.74|   2.89| 0.115
 14764| 5.97|   6.24|-0.061
 14817| 4.61|  10.69| 1.115
 14838| 4.35|  19.44| 1.033
 14844| 5.92|  16.13| 0.149
 14862| 4.85|  20.15| 0.035
 14879| 3.80|  70.86| 0.543
 14893| 5.78|   8.78|-0.106
 14913| 5.92|  22.83| 0.440
 14915| 5.55|   4.18| 1.011
 14930| 5.71|   2.48| 2.419
 14954| 5.07|  44.69| 0.575
 15004| 5.93|  10.47| 0.972
 15110| 4.87|   9.59|-0.007
 15154| 5.61|   7.52| 0.012
 15192| 5.79|   2.02| 0.644
 15197| 4.80|  27.18| 0.232
 15201| 5.51|  34.02| 0.438
 15219| 5.04|   3.91| 1.107
 15241| 5.98|   5.92| 0.988
 15305| 5.84|   6.89| 1.228
 15330| 5.53|  82.51| 0.641
 15334| 5.97|   5.37| 0.056
 15338| 5.49|   5.06|-0.060
 15357| 5.93|  16.14| 0.337
 15371| 5.24|  82.79| 0.600
 15382| 4.86|  12.79| 0.904
 15383| 5.62|  14.68| 1.050
 15404| 5.16|   6.18|-0.073
 15411| 5.72|  27.33| 0.381
 15416| 4.85|   2.21| 1.491
 15444| 5.05|   6.78|-0.067
 15457| 4.84| 109.18| 0.681
 15474| 3.70|  12.63| 1.614
 15479| 5.63|   2.78| 1.663
 15510| 4.26| 165.02| 0.711
 15514| 5.91|  15.88| 0.860
 15520| 4.74|   4.07|-0.108
 15547| 5.44|  12.36| 0.211
 15549| 4.47|   5.09| 1.555
 15619| 5.70|  11.23| 0.964
 15627| 5.27|   7.06|-0.067
 15643| 5.50|   7.75| 0.885
 15648| 4.96|  21.00| 0.051
 15669| 5.94|  21.86| 0.468
 15696| 5.55|   3.35| 1.100
 15737| 5.10|  10.23| 1.231
 15770| 5.32|   5.22|-0.076
 15861| 5.50|  14.18| 1.190
 15863| 1.79|   5.51| 0.481
 15876| 5.78|   6.19|-0.001
 15890| 5.13|   2.61| 2.038
 15900| 3.61|  15.42| 0.887
 15968| 5.96|  25.45| 0.415
 16029| 5.93|   7.52| 0.934
 16083| 3.73|  14.68|-0.082
 16112| 5.71|   7.02| 1.284
 16142| 5.74|   9.58| 1.102
 16147| 4.99|   5.72|-0.091
 16168| 5.72|   9.51| 0.048
 16210| 5.58|   5.89|-0.054
 16228| 4.21|   0.76| 0.419
 16244| 4.67|   5.84|-0.096
 16245| 4.71|  46.65| 0.410
 16263| 5.57|   7.76| 0.171
 16281| 4.55|   1.32| 0.489
 16285| 5.76|  16.04| 0.205
 16290| 5.68|  10.63| 0.932
 16292| 5.09|  17.07| 0.022
 16322| 5.14|   7.82|-0.041
 16335| 4.36|   9.23| 1.367
 16339| 5.98|   8.81| 0.116
 16340| 5.82|   3.75|-0.033
 16341| 4.74|   8.57|-0.092
 16358| 5.93|   6.31| 0.953
 16368| 5.81|   3.83|-0.055
 16369| 4.14|   9.05| 1.112
 16470| 5.47|   5.57|-0.101
 16489| 5.62|   9.18| 0.894
 16499| 5.30|  27.46| 0.398
 16509| 5.67|  10.63| 1.101
 16511| 5.76|   9.18|-0.072
 16518| 5.91|   1.99|-0.084
 16537| 3.72| 310.75| 0.881
 16591| 5.79|  18.29| 0.139
 16599| 5.98|  14.71| 0.114
 16611| 4.26|  11.02|-0.106
 16664| 5.95|   6.28| 0.123
 16780| 5.56|   8.60| 0.915
 16803| 5.24|   6.89|-0.117
 16826| 4.32|   4.66|-0.058
 16846| 5.82|  34.52| 0.885
 16852| 4.29|  72.89| 0.575
 16870| 4.57|  14.88| 1.023
 16989| 5.86|   8.35| 0.980
 17027| 5.97|  28.44| 0.921
 17103| 5.55|   8.14| 0.931
 17167| 5.53|   4.41|-0.145
 17203| 5.55|   4.04|-0.062
 17296| 5.06|   6.27| 1.651
 17304| 4.99|   4.45|-0.159
