#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-02-29T22:45:28 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ56d4b2251d72	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#Plx=25 .. 772.33
#-out=B-V
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue\vizContent{timeSerie}
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#HIP|Vmag|Plx|B-V
# |mag|mas|mag
#------|-----|-------|------
  3961| 6.86|  25.74| 0.447
  3979| 6.98|  45.27| 0.663
  3998| 9.22|  45.71| 1.194
  4012|10.66|  54.23| 1.363
  4022| 8.95|  65.81| 1.290
  4024| 9.77|  26.54| 1.069
  4061|11.53|  33.90| 1.440
  4067|11.80|  36.34| 1.465
  4103| 8.36|  25.86| 0.707
  4148| 7.15|  71.01| 0.936
  4151| 4.80|  53.85| 0.540
  4189|11.92|  42.61| 1.490
  4223|11.11|  38.16| 1.435
  4288| 5.46|  25.69| 1.012
  4290| 7.41|  33.92| 0.652
  4328|12.38|  39.56| 1.470
  4353| 9.42|  32.77| 1.163
  4365|11.06|  25.12| 1.300
  4443|11.13|  41.73| 1.430
  4454| 9.12|  41.45| 1.025
  4468|10.77|  34.40| 1.300
  4473| 9.50|  51.66| 1.299
  4569|11.77|  76.32| 1.558
  4691| 9.96|  30.39| 1.107
  4824|10.49|  32.06| 1.226
  4845|10.06|  46.22| 1.365
  4849| 8.16|  46.61| 1.008
  4855| 7.91|  31.35| 0.799
  4856| 9.98| 122.77| 1.501
  4872| 9.56|  99.44| 1.463
  4907| 7.67|  38.73| 0.756
  4927|11.36|  61.23| 1.590
  4967|10.89|  31.96| 1.137
  5027| 9.78|  38.99| 1.194
  5031| 9.15|  25.48| 0.801
  5041|10.02|  34.39| 1.280
  5110| 8.66|  37.60| 1.197
  5215|11.45|  45.24| 1.473
  5224| 8.84|  33.98| 0.925
  5247| 9.00|  66.46| 1.289
  5260|10.66|  34.85| 1.396
  5280| 7.01|  29.65| 0.567
  5286| 8.41|  48.20| 1.122
  5313| 7.78|  26.79| 0.621
  5335| 7.61|  30.84| 0.710
  5336| 5.17| 132.40| 0.704
  5346| 5.51|  27.84| 0.334
  5364| 3.46|  27.73| 1.161
  5369|10.56|  35.99| 1.256
  5373| 8.63|  28.33| 0.837
  5410|12.38|  46.11| 1.530
  5443|11.38|  26.61| 1.435
  5496| 9.80| 122.86| 1.568
  5521| 7.66|  37.34| 0.730
  5529| 8.06|  27.87| 0.849
  5534| 7.23|  25.25| 0.568
  5579|10.33|  26.76|
  5631| 6.89|  29.64| 0.494
  5643|12.10| 269.05| 1.850
  5647| 8.71|  31.12| 0.931
  5663| 9.55|  45.40| 1.267
  5741| 9.10|  29.30| 1.035
  5763| 9.82|  32.62| 1.220
  5799| 5.14|  41.01| 0.448
  5806| 7.50|  25.96| 0.575
  5812|11.16|  60.76| 1.637
  5842| 7.22|  47.36| 1.000
  5862| 4.97|  66.43| 0.571
  5896| 4.25|  48.94| 0.480
  5938| 7.55|  37.71| 0.753
  5944| 6.59|  42.30| 0.594
  5957|10.10|  44.03| 1.353
  5985| 6.52|  33.68| 0.563
  6005|11.31|  60.61| 1.510
  6008|10.80|  41.14| 1.447
  6037| 9.75|  33.18| 1.008
  6069|11.02|  65.30| 1.478
  6097|11.78|  45.22| 1.440
  6102| 9.95|  27.61| 0.927
  6130| 8.00|  36.16| 0.780
  6177| 8.69|  31.10| 0.876
  6206| 7.65|  25.59| 0.622
  6273| 7.57|  34.73| 0.702
  6276| 8.43|  28.52| 0.791
  6285| 7.21|  30.08| 0.586
  6290|10.36|  52.71| 1.340
  6339| 8.46|  34.78| 0.916
  6342|10.70|  37.85| 1.420
  6344| 9.67|  41.44| 1.292
  6351|10.15|  59.29| 1.383
  6365|11.48|  42.73| 1.627
  6379| 7.17|  59.46| 0.826
  6390| 8.76|  32.13| 0.970
  6405| 6.96|  39.07| 0.627
  6414|10.30|  37.10| 1.295
  6455| 7.92|  27.00| 0.656
  6456| 7.85|  33.09| 0.900
  6567|12.01|  30.57|
  6537| 3.60|  28.48| 1.065
  6558| 9.52|  29.60| 1.020
  6575| 8.39|  31.77| 0.784
  6613| 8.49|  30.24| 0.912
  6626| 9.80|  37.93| 1.420
  6639| 9.48|  27.52| 1.026
  6653| 7.38|  25.35| 0.675
  6686| 2.66|  32.81| 0.160
  6693| 7.86|  25.95| 0.750
  6702| 6.34|  26.14| 0.500
  6706| 5.35|  38.35| 0.395
  6748| 5.51|  27.55| 0.321
  6762| 7.96|  33.59| 0.738
  6796| 9.78|  26.41| 1.157
  6813| 4.83|  35.33| 0.421
  6856| 9.35|  26.92| 0.951
  6878| 6.66|  29.26| 0.505
  6917| 7.74|  43.16| 0.966
  7018| 9.41|  28.66| 0.863
  7058|10.18|  25.40| 1.173
  7078| 5.82|  34.19| 0.489
  7170|11.16|  56.42| 1.492
  7228|10.00|  28.69| 1.172
  7235| 6.97|  51.27| 0.766
  7244| 7.63|  30.13| 0.666
  7254| 7.83|  28.23| 0.815
  7276| 5.75|  33.71| 0.639
  7338|10.64|  28.70| 1.210
  7339| 6.52|  47.65| 0.686
  7346| 9.04|  31.98| 0.961
  7357| 6.90|  27.26| 0.531
  7372| 7.11|  42.29| 0.909
  7392|12.23|  35.36| 1.436
  7396| 8.77|  28.63| 0.780
  7404| 7.17|  27.36| 0.593
  7443| 6.43|  26.54| 0.415
  7500| 9.23|  30.75| 1.104
  7513| 4.10|  74.25| 0.536
  7535| 5.54|  29.58| 0.347
  7539| 8.14|  29.72| 0.830
  7554|10.39|  45.79| 1.416
  7576| 7.66|  42.35| 0.797
  7580| 6.24|  26.15| 0.528
  7585| 6.77|  38.86| 0.648
  7599| 7.33|  25.39| 0.629
  7601| 5.88|  36.86| 0.620
  7636| 8.65|  26.30| 0.848
  7646|11.60|  52.95| 1.496
  7655|10.74|  28.69| 1.101
  7687| 9.37|  25.82| 0.794
  7733| 7.74|  29.41| 0.733
  7734| 6.60|  46.73| 0.690
  7748| 9.81|  36.72| 1.148
  7751| 5.76| 122.75| 0.880
  7765| 8.68|  61.30|
  7776|11.90|  25.28| 1.461
  7794|10.18|  29.91| 1.170
  7822| 7.92|  28.29| 0.714
  7829|10.16|  33.63| 1.223
  7902| 7.70|  27.28| 0.691
  7916| 5.75|  26.83| 0.443
  7918| 4.96|  79.09| 0.618
  7978| 5.52|  57.63| 0.551
  7981| 5.24| 133.91| 0.836
  8008|11.65|  29.15| 1.464
  8014|11.19|  29.35| 1.381
  8039| 8.23|  30.58| 0.853
  8043|10.40|  48.11| 1.460
  8051|10.93|  88.86| 1.525
  8069|11.73|  33.68| 1.626
  8070| 8.42|  74.45| 1.202
  8102| 3.49| 274.17| 0.727
  8159| 6.27|  30.71| 0.720
  8190|11.42|  40.43| 1.330
  8195|11.39|  31.08| 1.412
  8209| 5.29|  36.46| 0.395
  8224| 9.48|  29.96| 1.126
  8275| 8.91|  43.37| 1.044
  8346| 8.98|  25.79| 0.795
  8361| 9.74|  30.78| 1.144
  8362| 5.63| 100.24| 0.804
  8382|12.24|  48.23| 1.695
  8433| 5.78|  36.65| 0.572
  8453|11.04|  31.33| 1.312
  8486| 6.72|  43.47| 0.654
  8497| 4.66|  42.35| 0.333
  8514| 6.37|  36.89| 0.523
  8525| 8.07|  25.18| 0.856
  8543| 8.06|  37.33| 0.758
  8691|11.80|  56.35| 1.475
  8701| 8.95|  32.38| 0.888
  8709|12.44|  63.08| 0.170
  8728| 9.60|  25.59| 0.958
  8768| 8.89|  90.17| 1.424
  8796| 3.42|  50.87| 0.488
  8798| 7.43|  26.56| 0.635
  8865| 9.70|  26.57| 1.040
  8867| 8.47|  45.16| 1.010
  8881| 9.15|  27.05| 0.887
  8903| 2.64|  54.74| 0.165
  8972|12.04|  27.77| 1.453
  8987| 9.86|  25.75| 1.119
  8998| 6.01|  25.71| 0.549
  9007| 3.69|  57.19| 0.844
  9044| 8.61|  50.76| 1.143
  9073| 7.85|  30.00| 0.711
  9085| 6.10|  37.97| 0.487
  9094| 6.42|  29.43| 0.817
  9172| 7.57|  31.98| 0.661
  9187|10.49|  34.07| 1.531
  9236| 2.86|  45.74| 0.290
  9269| 7.14|  40.74| 0.773
  9275|10.89|  33.53| 1.470
  9291|12.21|  83.20| 1.540
  9353| 5.89|  32.18| 0.610
  9381| 7.37|  28.54| 0.653
  9398|10.63|  25.20| 1.173
  9480| 4.49|  27.91| 0.164
  9488|10.48|  25.12| 1.246
  9553| 9.02|  31.79| 1.020
  9560|12.26|  36.17| 1.441
  9603|11.16|  34.89| 1.427
  9683| 7.43|  26.91| 0.710
  9692| 8.66|  32.32| 0.566
  9711|12.85|  27.60|
  9716| 7.79|  39.16| 0.832
  9724|10.19| 105.94| 1.514
  9727| 5.27|  29.80| 0.345
  9749|10.88|  44.37| 1.400
  9753| 9.56|  30.57| 1.021
  9762|12.02|  26.21| 1.428
  9786|12.15| 105.64| 1.719
  9788| 9.83|  34.78| 1.170
  9829| 6.89|  43.14| 0.662
  9884| 2.01|  49.48| 1.151
  9911| 6.88|  27.04| 0.624
  9972|10.62|  25.58| 0.710
 10031| 6.57|  36.57| 0.551
 10037|10.89|  33.44| 1.386
 10050| 6.40|  25.47| 0.471
 10064| 3.00|  26.24| 0.140
 10072|11.78|  50.34| 1.517
 10138| 6.12|  91.63| 0.812
 10191|10.15|  48.22| 1.430
 10218| 7.33|  30.76| 0.677
 10272| 7.71|  30.99| 1.133
 10276| 8.46|  29.52| 0.781
 10279|10.04|  96.28| 1.431
 10301| 8.36|  34.97| 0.870
 10306| 5.23|  33.19| 0.457
 10312|11.10|  39.26| 1.455
 10321| 7.19|  38.12| 0.672
 10335|10.25|  29.71| 1.192
 10337| 9.84|  43.00| 1.346
 10339| 7.35|  39.10| 0.700
 10370|11.83|  30.31| 1.456
 10395|10.31|  80.79| 1.479
 10416| 8.55|  43.73| 1.055
 10421| 9.73|  30.60| 1.278
 10500|11.88|  34.06| 1.470
 10505| 6.80|  37.87| 0.690
 10510| 8.12|  26.89| 0.705
 10529| 9.91|  42.46| 0.461
 10531| 7.13|  42.46| 0.920
 10542| 7.94|  44.96| 1.033
 10552| 8.99|  26.37| 1.088
 10599| 7.99|  29.35| 0.790
 10617|12.02|  70.16| 1.583
 10629| 8.30|  25.82| 0.674
 10644| 4.84|  92.20| 0.607
 10670| 4.03|  27.73| 0.019
 10679| 7.75|  29.40| 0.622
 10680| 6.99|  25.37| 0.518
 10688|11.48|  40.40| 1.446
 10712|11.62|  36.24| 1.520
 10723| 5.60|  40.04| 0.588
 10798| 6.33|  78.88| 0.724
 10810| 6.82|  29.74| 0.566
 10812|11.59|  71.56| 1.510
 10818| 8.48|  25.51| 0.740
 10842| 8.12|  26.00| 0.678
 10864| 8.22|  27.96| 0.907
 10874|10.51|  27.80| 1.138
 10925| 8.67|  39.30| 1.031
 10938|10.92|  25.85|
 10960|10.31|  34.89| 1.322
 10977| 8.82|  32.50| 0.918
 11000| 9.07|  37.34| 1.079
 11028| 8.26|  25.23| 0.720
 11029| 5.43|  33.48| 0.364
 11048| 9.40|  83.93| 1.466
 11072| 5.19|  45.60| 0.608
 11083| 8.83|  29.51| 0.906
 11111| 8.94|  26.92| 0.882
 11152|11.09|  32.56|
 11182|10.35|  26.69| 1.202
 11231| 6.17|  32.05| 0.653
 11317| 9.04|  28.10| 0.963
 11323| 9.12|  29.57| 0.445
 11324| 9.48|  26.05| 0.511
 11349| 7.94|  35.86| 0.807
 11427| 6.45|  27.50| 0.450
 11439|10.89|  48.01| 1.449
 11443| 9.91|  29.13| 0.952
 11452| 8.69|  60.22| 1.397
 11542| 9.57|  38.71| 1.330
 11548| 5.89|  32.48| 0.591
 11558|12.00|  37.55| 1.500
 11565| 8.78|  52.90| 1.120
 11650|12.79|  41.15|-0.056
 11707|10.90|  28.19| 1.340
 11739|10.24|  29.08| 1.253
 11759| 8.67|  38.30| 0.935
 11783| 4.74|  38.73| 0.454
 11843| 6.00|  34.84| 0.572
 11852| 8.84|  44.31| 1.045
 11862|12.00|  27.61| 1.500
 11877| 8.37|  25.12| 0.815
 11906| 7.67|  26.96| 0.695
 11949| 7.59|  32.63| 0.677
 11964| 8.89|  86.87| 1.390
 12048| 6.83|  27.85| 0.670
 12065|10.19|  26.87| 1.094
 12097|10.68|  71.60| 1.470
 12110| 8.34|  47.04| 1.069
 12109| 9.47|  32.09| 1.060
 12114| 5.79| 138.72| 0.918
 12119| 8.38|  25.41| 0.770
 12144|11.95|  33.67| 1.407
 12153| 5.64|  28.40| 0.516
 12156|11.03|  25.78| 1.330
 12158| 8.10|  41.09| 0.944
 12184| 7.10|  25.36| 0.410
 12186| 5.78|  39.16| 0.653
 12261|12.36|  67.20|
 12288| 5.84|  27.99| 0.476
 12306| 7.36|  27.89| 0.583
 12351| 9.48|  60.51| 1.396
 12390| 4.83|  36.99| 0.447
 12413| 4.74|  25.15| 0.061
 12426|11.24|  29.73| 1.404
 12444| 5.79|  46.42| 0.524
 12447| 6.26|  25.24| 0.397
 12493| 9.51|  44.84| 1.185
 12530| 5.72|  46.24| 0.511
 12623| 4.91|  40.52| 0.582
 12631| 9.00|  26.81| 0.967
 12642|11.98|  28.38|
 12653| 5.40|  58.00| 0.561
 12680| 9.85|  28.62| 0.956
 12706| 3.47|  39.78| 0.093
 12709| 8.23|  53.89| 1.074
 12723| 9.04|  36.44| 1.040
 12749|11.92|  42.19| 1.460
 12777| 4.10|  89.03| 0.514
 12781|10.55| 132.42| 1.530
 12787|10.98|  29.78| 1.400
 12828| 4.27|  38.71| 0.311
 12832| 5.17|  26.15| 0.234
 12837| 7.14|  25.05| 0.517
 12843| 4.47|  71.56| 0.481
 12856|10.58|  28.45| 1.095
 12886|10.80|  42.59|
 12926| 7.89|  38.95| 0.840
 12929| 8.59|  62.83| 1.269
 12961|10.25|  42.01| 1.389
 13008| 6.47|  26.18| 0.398
 13027| 6.90|  30.66| 0.680
 13065|11.07|  36.45| 1.462
 13079|10.78|  31.91| 1.417
 13081| 7.56|  44.71| 0.820
 13117|11.69|  29.67| 1.460
 13169| 8.29|  35.21| 0.845
 13179| 9.77|  25.98| 1.169
 13218|10.72|  76.45| 1.510
 13254| 4.22|  25.54| 0.343
 13258| 8.87|  44.61| 1.194
 13342|10.01|  36.22| 1.190
 13345| 9.82|  33.01| 1.216
 13363| 6.38|  31.18| 0.484
 13375| 9.60|  70.19| 1.315
 13388| 8.09|  38.45| 0.827
 13389|11.36|  86.91| 1.549
 13394| 6.78|  32.96| 0.574
 13398|10.86|  37.75| 1.260
 13402| 6.05|  96.33| 0.862
 13412|12.08|  25.49| 1.456
 13460| 9.16|  27.61| 1.057
 13513| 8.23|  33.83| 0.933
 13594| 8.33|  29.14| 0.735
 13601| 7.41|  38.30| 0.749
 13610|11.38|  35.24| 1.400
 13642| 7.52|  43.71| 0.953
 13644|11.05|  27.57| 1.399
 13665| 5.59|  37.78| 0.445
 13702| 5.58|  28.24| 0.471
 13714|10.73|  30.94| 1.405
 13716|10.99|  30.94| 1.384
 13750| 7.90|  25.66| 0.604
 13754| 8.99|  26.81| 0.876
 13769| 7.84|  38.87| 0.960
 13772| 7.33|  44.49| 0.863
 13790|10.33|  29.23| 1.233
 13806| 8.92|  25.77| 0.855
 13834| 5.80|  31.41| 0.415
 13841|10.53|  25.38| 1.121
 13875| 9.48|  25.26| 1.050
 13886|10.31|  29.17| 1.364
 13891| 8.21|  35.00| 0.871
 13902| 7.39|  25.68| 0.590
 13942| 5.69|  30.92| 0.427
 13976| 7.97|  42.66| 0.926
 14023| 8.11|  30.87| 0.838
 14086| 5.88|  32.94| 0.794
 14101|10.40|  92.97|
 14124| 6.20|  30.81| 0.598
 14137| 9.73|  34.91| 0.788
 14146| 4.08|  37.85| 0.163
 14150| 6.62|  47.25| 0.696
 14165|11.77|  47.81| 1.501
 14223|10.77|  28.11|
 14230| 7.09|  29.62| 0.624
 14239|11.04|  25.79| 1.433
 14241| 8.08|  28.33| 0.677
 14258| 6.92|  31.75| 0.552
 14286| 6.64|  43.74| 0.634
 14300| 7.99|  28.04| 0.703
 14445| 9.07|  67.69| 1.358
 14478| 9.66|  36.71| 1.190
 14501| 6.97|  31.76| 0.645
 14555|10.21|  52.38|
 14559|11.72| 114.73|
 14568|10.23|  32.10| 1.326
 14574|11.72|  25.11|
 14576| 2.09|  35.14|-0.003
 14587| 9.27|  46.54| 1.207
 14589|10.86|  45.83|
 14592| 6.64|  31.60| 0.637
 14593|10.12|  28.42| 1.340
 14594| 8.04|  25.85| 0.486
 14623| 7.29|  33.14| 0.678
 14632| 4.05|  94.93| 0.595
 14633| 9.82|  46.91| 1.321
 14665|11.98|  33.95| 1.459
 14668| 3.79|  29.05| 0.980
 14669|10.11|  64.83| 1.473
 14729| 9.38|  36.96| 1.150
 14731|11.82|  57.53| 1.500
 14754|11.39|  98.50| 0.025
 14813|11.53|  34.48| 1.417
 14864|10.06|  27.13| 1.360
 14879| 3.80|  70.86| 0.543
 14954| 5.07|  44.69| 0.575
 14964| 7.27|  26.64| 0.584
 14985| 9.92|  29.36| 1.064
 15035| 8.55|  26.58| 0.790
 15087|10.30|  36.41| 1.589
 15095| 9.17|  54.48| 1.235
 15099| 7.83|  44.96| 0.861
 15131| 6.75|  41.05| 0.586
 15197| 4.80|  27.18| 0.232
 15201| 5.51|  34.02| 0.438
 15220|10.53|  74.29| 1.430
 15234|10.67|  30.63| 1.188
 15244| 6.14|  28.83| 0.407
 15286| 9.63|  26.08| 1.078
 15300|11.11|  29.49| 1.408
 15312|11.58|  33.63| 1.463
 15323| 6.40|  36.86| 0.574
 15330| 5.53|  82.51| 0.641
 15332|11.84|  47.29| 1.460
 15360|11.01|  42.72| 1.451
 15366|10.29|  57.75| 1.449
 15371| 5.24|  82.79| 0.600
 15406|11.33|  32.80| 1.474
 15411| 5.72|  27.33| 0.381
 15439|11.84|  48.81| 1.540
 15442| 7.05|  40.52| 0.655
 15457| 4.84| 109.18| 0.681
 15466|10.79|  29.56| 1.769
 15510| 4.26| 165.02| 0.711
 15526| 8.48|  27.86| 0.820
 15527| 7.36|  27.76| 0.630
 15539| 8.44|  29.64| 0.785
 15563| 9.65|  34.18| 1.130
 15609| 7.94|  25.21| 0.728
 15638|11.21|  72.80| 1.590
 15673| 9.05|  44.03| 0.990
 15689|12.16| 227.45|
 15720|11.03|  29.75| 1.431
 15725| 9.28|  32.99| 1.061
 15771|10.24|  50.16| 1.386
 15774| 8.58|  50.64| 1.068
 15776| 6.20|  27.09| 0.702
 15797| 8.98|  39.10| 0.980
 15799| 6.90|  58.53| 0.840
 15844|10.38|  50.54| 1.510
 15919| 7.86|  66.15| 1.153
 15968| 5.96|  25.45| 0.415
 15973|11.26|  40.18| 1.439
 16012| 7.88|  31.88| 0.716
 16069| 8.08|  61.07| 1.130
 16085| 7.95|  30.95| 0.761
 16090|11.78|  36.73| 1.476
 16094| 9.65|  25.24| 0.970
 16134| 8.39|  79.26| 1.337
 16209|11.10|  39.19| 1.314
 16242| 9.95|  46.16| 1.403
 16245| 4.71|  46.65| 0.410
 16247| 9.15|  31.55| 1.020
 16310| 6.12|  29.33| 0.489
 16365| 7.71|  25.11| 0.591
 16445|12.26|  41.67| 1.550
 16499| 5.30|  27.46| 0.398
 16536|11.47|  92.05| 1.560
 16537| 3.72| 310.75| 0.881
 16560|11.17|  29.74| 1.371
 16563| 8.15|  29.61| 0.800
